ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
511054011,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Eliot Miller,11/30/2022,2022,11,30,1334,Zambia,ZM-07,Southern,,Masuku Lodge,-16.6507077,27.0700893,,,Unspecified,,,,,,,,,S123376340,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,5,1,,,
509934691,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,John C. Mittermeier,11/21/2022,2022,11,21,602,Zimbabwe,ZW-MN,Matabeleland North,,Victoria Falls (Zimbabwe side),-17.9251598,25.8504232,,,Used,,,,,iPhone 14,,,,S122786094,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
497892441,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Derek Heins,7/24/2022,2022,7,24,710,Uganda,UG-W,Western,,"Kibaale National Park, Kibale UG-Western 0.42901, 30.40895",0.429012,30.40895,,,Unspecified,,,,,,,,,S115650710,,,,,heard only,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
490429841,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Cyanomitra olivacea -- Olive Sunbird,Henry Burton,10/19/2021,2021,10,19,929,Côte d'Ivoire,CI-01,Lagunes (Région des),,Foret du Banco,5.3842848,-4.056015,,Song,Unspecified,,,,,,,,,S96431519,,,,,Lifer. Heard and recorded (labeled unidentified).,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
486770851,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Eurillas virens -- Little Greenbul; Centropus sp. -- coucal sp.,Henry Burton,10/19/2021,2021,10,19,1129,Côte d'Ivoire,CI-01,Lagunes (Région des),,Foret du Banco,5.3842848,-4.056015,,Song,Unspecified,,,,,,,,,S96431543,,,,,"Saw one (male) up high in the canopy. Vivid yellow belly; dark iridescent green throat, head, and back. Recorded.",Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
470071531,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Charlene Glacy,4/21/2022,2022,4,21,637,Ghana,GH-WP,Western,,Nsuta Forest,5.2990398,-1.6440673,,,Unspecified,,,,,,,,,S107600650,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
467477231,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,6/20/2022,2022,6,20,705,Uganda,UG-W,Western,,"Kibaale National Park, Kibale UG-Western 0.43088, 30.41011",0.430883,30.410113,,Song,Unspecified,,,,,Olympus LS-05,Telinga Pro-X,,,S114570255,,,,,HO,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
437372801,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,3/22/2022,2022,3,22,558,Ghana,GH-CP,Central,,Kakum National Park,5.3500604,-1.3819599,,Song,Unspecified,,,,,Olympus LS-05,Telinga ProX,,,S105356252,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
437048191,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Gymnobucco calvus -- Naked-faced Barbet,Peter Boesman,3/21/2022,2022,3,21,613,Ghana,GH-AH,Ashanti,,Kwabena Sam Forest,6.1039796,-1.3495489,,Song,Unspecified,,,,,Olympus LS-05,Telinga ProX,,,S105319362,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
437044471,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,3/21/2022,2022,3,21,613,Ghana,GH-AH,Ashanti,,Kwabena Sam Forest,6.1039796,-1.3495489,,Song,Unspecified,,,,,Olympus LS-05,Telinga ProX,,,S105319362,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,1,,,
437044401,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,3/21/2022,2022,3,21,613,Ghana,GH-AH,Ashanti,,Kwabena Sam Forest,6.1039796,-1.3495489,,Song,Unspecified,,,,,Olympus LS-05,Telinga ProX,,,S105319362,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,1,,,
434335111,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,3/11/2022,2022,3,11,1423,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,Song,Unspecified,,,,,,,,,S104761306,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,2,1,,,
413629961,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Wayne Paes,12/6/2021,2021,12,6,600,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S98848357,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
401346951,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,David Robichaud,12/2/2021,2021,12,2,1104,Ghana,GH-WP,Western,,Ankasa NP--entrance vicinity (recent years' camp),5.2161111,-2.6511111,,,Unspecified,,,,,,,,,S98481276,,,,,Heard,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
401346941,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,David Robichaud,12/2/2021,2021,12,2,1104,Ghana,GH-WP,Western,,Ankasa NP--entrance vicinity (recent years' camp),5.2161111,-2.6511111,,,Unspecified,,,,,,,,,S98481276,,,,,Heard,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
397131791,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,isaac  kilusu,12/19/2021,2021,12,19,805,Kenya,KE-700,Rift Valley,,Mandegee Farm,-2.9835,37.61432,,,Unspecified,,,,,,,,,S99098342,,,,,sound recorded,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
391285271,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Simon Colenutt,11/18/2021,2021,11,18,624,Ghana,GH-WP,Western,,Ankasa NP,5.2947246,-2.5941467,,,Unspecified,,,,,,,,,S97732248,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
390677901,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Simon Colenutt,11/12/2021,2021,11,12,1522,Ghana,GH-EP,Eastern,,Atewa Range Forest Reserve,6.2975538,-0.604248,,,Unspecified,,,,,,,,,S97480899,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
282549441,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,1/11/2014,2014,1,11,0,Zambia,ZM-07,Southern,,Bruce Miller Farm,-16.6414279,27.0128059,,,Unspecified,,,,,,,,,S76647781,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,5,1,,,
