"ID","n1_s1_pk","n1_s2_pk","n1_s3_pk","n1_s4_pk","n1_s1_max","n1_s2_max","n1_s3_max","n1_s4_max","n1_s1_min","n1_s2_min","n1_s3_min","n1_s4_min","n1_s1_maxsl","n1_s2_maxsl","n1_s3_maxsl","n1_s4_maxsl","n1_s1_minsl","n1_s2_minsl","n1_s3_minsl","n1_s4_minsl","n1_entr","n1_dur","n2_s1_pk","n2_s2_pk","n2_s3_pk","n2_s4_pk","n2_s1_max","n2_s2_max","n2_s3_max","n2_s4_max","n2_s1_min","n2_s2_min","n2_s3_min","n2_s4_min","n2_s1_maxsl","n2_s2_maxsl","n2_s3_maxsl","n2_s4_maxsl","n2_s1_minsl","n2_s2_minsl","n2_s3_minsl","n2_s4_minsl","n2_entr","n2_dur","n3_s1_pk","n3_s2_pk","n3_s3_pk","n3_s4_pk","n3_s1_max","n3_s2_max","n3_s3_max","n3_s4_max","n3_s1_min","n3_s2_min","n3_s3_min","n3_s4_min","n3_s1_maxsl","n3_s2_maxsl","n3_s3_maxsl","n3_s4_maxsl","n3_s1_minsl","n3_s2_minsl","n3_s3_minsl","n3_s4_minsl","n3_entr","n3_dur","n4_s1_pk","n4_s2_pk","n4_s3_pk","n4_s4_pk","n4_s1_max","n4_s2_max","n4_s3_max","n4_s4_max","n4_s1_min","n4_s2_min","n4_s3_min","n4_s4_min","n4_s1_maxsl","n4_s2_maxsl","n4_s3_maxsl","n4_s4_maxsl","n4_s1_minsl","n4_s2_minsl","n4_s3_minsl","n4_s4_minsl","n4_entr","n4_dur"
"Chrysococcyx-cupreus-615909_1.23.wav",3.10078125,2.75625,2.4978515625,2.75625,3.617578125,2.928515625,2.583984375,3.3591796875,2.8423828125,2.583984375,2.41171875,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.45558415907671,0.110365248501423,2.6701171875,2.4978515625,2.1533203125,1.894921875,2.75625,2.583984375,2.41171875,2.0671875,2.4978515625,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.441603556182422,0.229175331320898,2.4978515625,2.3255859375,2.3255859375,2.239453125,3.10078125,2.4978515625,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.354808687707373,0.271108301727771,2.583984375,2.41171875,2.75625,2.75625,3.1869140625,2.4978515625,2.8423828125,3.273046875,2.41171875,2.3255859375,2.41171875,2.6701171875,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,0,0,0,0.417486969432387,0.175594313578782
"Chrysococcyx-cupreus-615909_1.26.wav",3.0146484375,2.583984375,2.41171875,2.583984375,3.617578125,2.75625,2.4978515625,3.10078125,2.75625,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.441216215396169,0.110050763633195,2.4978515625,2.41171875,2.239453125,1.9810546875,2.8423828125,2.4978515625,2.41171875,2.0671875,2.41171875,2.239453125,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.411633090888146,0.236696483687268,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,0,-0.0861328124999998,-0.0861328125000003,0.329186350163855,0.27600032784198,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.414696497407498,0.179341985180021
"Chrysococcyx-cupreus-615909_1.29.wav",3.0146484375,2.583984375,2.41171875,2.4978515625,3.617578125,2.75625,2.4978515625,3.0146484375,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.440348740788763,0.103047144909813,2.4978515625,2.41171875,2.1533203125,1.894921875,2.75625,2.4978515625,2.3255859375,2.0671875,2.41171875,2.239453125,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.414817333067779,0.246847397976048,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.325183079506401,0.273628011907412,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.41171875,2.75625,3.3591796875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.419977628171877,0.18193351855546
"Chrysococcyx-cupreus-615909_1.45.wav",3.0146484375,2.583984375,2.4978515625,2.583984375,3.7037109375,2.75625,2.583984375,3.273046875,2.8423828125,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.445553136586811,0.110060154931406,2.4978515625,2.41171875,2.3255859375,2.0671875,3.1869140625,2.583984375,2.4978515625,2.239453125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.412748096171045,0.236134353569763,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.328836199723153,0.274568058466444,2.583984375,2.41171875,2.6701171875,2.75625,3.10078125,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.414115993893671,0.17207817874196
"Chrysococcyx-cupreus-615909_1.48.wav",3.4453125,2.583984375,2.41171875,2.8423828125,3.78984375,2.75625,2.583984375,3.1869140625,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.465612365036314,0.11123106412317,2.4978515625,2.41171875,2.239453125,1.9810546875,2.75625,2.4978515625,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.408843139399019,0.221588585857939,2.41171875,2.3255859375,2.239453125,2.239453125,3.0146484375,2.41171875,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,0.338609883880414,0.274292309958185,2.4978515625,2.41171875,2.6701171875,2.6701171875,3.10078125,2.4978515625,2.8423828125,3.1869140625,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.409279695093776,0.175582020068774
"Chrysococcyx-cupreus-615909_1.52.wav",3.3591796875,2.6701171875,2.4978515625,2.75625,3.7037109375,2.8423828125,2.583984375,3.1869140625,2.928515625,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.466187934466469,0.108596355628317,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328124999998,-0.0861328125000003,-0.0861328125000003,0.41787133672532,0.227091574772352,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.340100027382097,0.250091875294167,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.4978515625,2.8423828125,3.273046875,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.411389110046597,0.177306114149183
"Chrysococcyx-cupreus-615909_1.58.wav",3.1869140625,2.583984375,2.4978515625,2.583984375,3.7037109375,2.75625,2.583984375,3.10078125,2.928515625,2.4978515625,2.3255859375,2.41171875,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.446383881757329,0.103341642127011,2.583984375,2.41171875,2.1533203125,1.9810546875,2.75625,2.583984375,2.3255859375,2.0671875,2.41171875,2.3255859375,1.9810546875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.416961210196131,0.23986905102157,2.41171875,2.3255859375,2.239453125,2.239453125,2.928515625,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,0,0,-0.0861328125000003,0.349084016425663,0.26839716631297,2.583984375,2.41171875,2.6701171875,2.75625,3.10078125,2.4978515625,2.8423828125,3.273046875,2.41171875,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,-0.0861328124999998,0.411147690014555,0.176117446441808
"Chrysococcyx-cupreus-615909_2.02.wav",3.10078125,2.583984375,2.41171875,2.4978515625,3.78984375,2.75625,2.4978515625,3.10078125,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.460762619859263,0.11066389620512,2.4978515625,2.41171875,2.239453125,2.0671875,2.75625,2.4978515625,2.41171875,2.1533203125,2.41171875,2.3255859375,2.1533203125,1.894921875,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125,0.387215113228224,0.196865246933318,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.347182181622826,0.27549485739485,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0.0861328125000003,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.41071918466029,0.181721766399986
"Chrysococcyx-cupreus-615909_2.05.wav",3.10078125,2.583984375,2.41171875,2.4978515625,3.7037109375,2.75625,2.4978515625,3.10078125,2.8423828125,2.41171875,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.449836881002834,0.110365248501423,2.4978515625,2.41171875,2.239453125,1.9810546875,2.75625,2.4978515625,2.3255859375,2.0671875,2.41171875,2.239453125,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.399984870517152,0.229466532504279,2.41171875,2.239453125,2.239453125,2.1533203125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.331881221870568,0.269069893444103,2.4978515625,2.3255859375,2.583984375,2.6701171875,3.1869140625,2.4978515625,2.75625,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.410750306599804,0.179671130146116
"Chrysococcyx-cupreus-615909_2.11.wav",3.273046875,2.6701171875,2.41171875,2.4978515625,3.78984375,2.8423828125,2.583984375,3.10078125,2.928515625,2.4978515625,2.3255859375,2.3255859375,0,0,0,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328124999998,0,0.455559128845786,0.106587204127114,2.583984375,2.41171875,2.239453125,1.9810546875,2.75625,2.583984375,2.41171875,2.0671875,2.41171875,2.3255859375,2.0671875,1.8087890625,0,0,0,0,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0.406271683551144,0.239675598351407,2.41171875,2.3255859375,2.239453125,2.239453125,2.8423828125,2.41171875,2.3255859375,2.3255859375,2.3255859375,2.239453125,2.1533203125,2.0671875,0,0,0,0,-0.0861328125000003,-0.0861328124999998,0,-0.0861328125000003,0.340773663485948,0.265011900971786,2.4978515625,2.3255859375,2.6701171875,2.6701171875,3.10078125,2.41171875,2.8423828125,3.1869140625,2.3255859375,2.239453125,2.41171875,2.583984375,0,0,0.0861328125000003,0.0861328125000003,-0.0861328125000003,-0.0861328125000003,0,0,0.4165408903815,0.181140002642254
