"filename","s1_maxfreq","s2_maxfreq","s1_minfreq","s2_minfreq","s1_peakfreq","s2_peakfreq","s1_specentropy","s2_specentropy","s1_maxslope","s2_maxslope","s1_minslope","s2_minslope","s1_duration","s2_duration"
"Chrysococcyx-cupreus-615909_1.26.wav",3.0146484375,2.8423828125,1.93798828125,2.19638671875,2.45478515625,2.28251953125,0.541672634681378,0.484829683600847,0.34453125,1.2919921875,-0.4306640625,-0.4306640625,0.413145842766788,0.600241361549236
"Chrysococcyx-cupreus-615909_1.29.wav",3.05771484375,2.79931640625,1.9810546875,2.1533203125,2.45478515625,2.28251953125,0.532888110269165,0.493015879988064,0.34453125,1.2919921875,-0.4306640625,-0.34453125,0.369927524307578,0.592276814119717
"Chrysococcyx-cupreus-615909_1.45.wav",3.10078125,2.928515625,2.36865234375,2.11025390625,2.45478515625,2.28251953125,0.503531614819015,0.509435785810651,0.4306640625,1.03359375,-0.34453125,-0.2583984375,0.334345610964603,0.984351714324698
"Chrysococcyx-cupreus-615909_1.48.wav",3.05771484375,2.97158203125,1.93798828125,2.19638671875,2.45478515625,2.28251953125,0.553864118422127,0.489647838631212,0.34453125,1.2919921875,-0.34453125,-0.4306640625,0.391097286294928,0.583756827356922
"Chrysococcyx-cupreus-615909_1.52.wav",3.3591796875,2.97158203125,1.894921875,2.1533203125,2.45478515625,2.36865234375,0.563186098066351,0.500666282001944,0.34453125,1.378125,-0.34453125,-0.4306640625,0.397952360571687,0.577599282249065
"Chrysococcyx-cupreus-615909_1.58.wav",3.10078125,3.10078125,1.894921875,2.1533203125,2.45478515625,2.239453125,0.540718676484988,0.508855059339174,0.4306640625,1.1197265625,-0.4306640625,-0.34453125,0.403214846300232,0.580842632093641
"Chrysococcyx-cupreus-615909_2.02.wav",3.14384765625,3.10078125,2.02412109375,2.1533203125,2.41171875,2.239453125,0.548093618149233,0.502394810291801,0.4306640625,1.03359375,-0.516796875,-0.34453125,0.377281308034619,0.594360228198859
"Chrysococcyx-cupreus-615909_2.05.wav",3.05771484375,3.10078125,1.93798828125,2.1533203125,2.41171875,2.239453125,0.540569941475241,0.506131289365667,0.4306640625,1.1197265625,-0.4306640625,-0.4306640625,0.41264032314685,0.588018879361337
"Chrysococcyx-cupreus-615909_2.11.wav",2.88544921875,3.10078125,1.93798828125,2.1533203125,2.45478515625,2.36865234375,0.538047909528357,0.499930733758178,0.4306640625,1.1197265625,-0.4306640625,-0.34453125,0.402272441811531,0.584852411028259
"Chrysococcyx-cupreus-615909_2.16.wav",3.10078125,3.05771484375,1.894921875,2.1533203125,2.45478515625,2.239453125,0.547428616859209,0.503316514250932,0.4306640625,0.9474609375,-0.516796875,-0.34453125,0.406509794867174,0.590388481390926
"Chrysococcyx-cupreus-615909_2.20.wav",3.10078125,3.10078125,2.02412109375,2.1533203125,2.41171875,2.239453125,0.539877182134506,0.503513311746968,0.4306640625,1.205859375,-0.34453125,-0.34453125,0.384234771156854,0.596779589721309
